,screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment
53,RoflAAPiyan,1630,1600,15,10467,158,False,18.666666666666668,42.8,0.15,Twitter for Android,4
54,love_khajuria,55,2030,0,558,136,False,70.27272727272727,41.8,2.5,Twitter for Android,5
55,RounaqNeroy,89,308,10,1595,102,False,8.4,6.5,0.05,Twitter for iPhone,5
56,RahulJaiss,75,34,1,740,159,False,29.8,14.55,0.25,Twitter Web Client,6
57,sunita1872339,12,1733,0,1747,28,False,239.66666666666666,29081.85,0.0,Twitter for Android,7
58,sachdevasonam27,254,1594,4,21892,96,False,242.94117647058823,14434.75,0.05,Twitter for Android,8
59,SuratAirportSTV,1425,3951,156,10417,2796,False,3.5172413793103448,4.15,0.0,Twitter Web Client,5
60,MusafirNamah,11195,529,319,9587,495,False,2.9508196721311477,0.15,0.4,Twitter Web Client,5
61,swedish_jade,0,177,0,645,22,False,9.666666666666666,3216.85,0.0,Twitter Web Client,3
62,TeestaSetalvad,32224,6,230,5452,87,False,-1,11.75,3.4,Twitter Web Client,3
63,rajeshbanga,1103,1971,18,4920,748,False,18.0,53.85,2.75,Twitter for iPhone,6
64,Barun_kunwar,107,433,3,1760,379,False,53.916666666666664,0.1,0.5,Twitter for Android,5
65,Rafik20982299,75,340,0,237,201,False,18.3,27.75,0.25,Twitter for Android,5
66,aakashkr007,17,7,0,34,292,False,8.727272727272727,624.5263157894736,0.15789473684210525,Twitter Web Client,6
67,iFaridoon,70939,4685,211,37601,359,True,2.25,2.4,3.0,Twitter for Android,8
68,SDharmadev,664,1234,21,21719,988,False,12.68421052631579,64.45,0.0,Mobile Web (M2),4
69,AnthonySald,10777,344,106,136694,10916,False,17.0,137.7,0.0,Twitter Web Client,4
70,ranjit8144,46,328,2,1313,41,False,2.7777777777777777,6210.8,0.05,Twitter for Android,4
71,yadunathsingh20,9,20,0,77,24,False,-1,0.0,0.65,Twitter for Android,5
72,Ashokk3450,74,1746,35,25349,190,False,338.6,32.5,0.0,Twitter for Android,5
73,PaymundoSales,1005,98,50,3679,1715,False,-1,0.0,0.05,Upflow,5
74,make_itpossible,1117,3644,9,19995,246,False,5.5,336.15,0.55,Twitter for iPhone,5
75,Syddie,1981,24696,60,60558,335,False,-1,324.3,0.35,Twitter for Android,6
76,nitin_popli,46,111,0,208,149,False,97.21052631578948,1.0,0.0,Twitter for Android,7
77,Official_IILD,93,8,37,678,73,False,14.590909090909092,0.0,0.2,Twitter Web Client,6
78,aap_rahul,357,2602,4,3657,454,False,30.6,67.7,3.15,Twitter for Android,5
79,tatique_khan,17,11,0,37,50,False,1.9090909090909092,1524.6,0.1,Twitter for Android,6
80,pratikwasnik,1444,531,24,21020,1876,False,32.083333333333336,79.4,0.0,Twitter for Android,5
81,aquib_ak,1346,5982,21,34262,722,False,4.0,308.85,0.1,Twitter for iPhone,5
82,vivekkmr20,52,1806,6,3687,403,False,-1,509.75,0.0,Twitter for Android,4
83,ProfNKPandey,2413,1962,40,36315,104,False,109.66666666666667,11.95,0.8,Twitter for Android,5
84,lop_india,137,121,39,46507,68,False,106.16666666666667,372.8,0.0,Twitter for iPhone,4
85,AashishKhetan,137621,72,303,10530,432,True,40.5,559.1,38.15,Twitter Web Client,5
86,rons1212,2307,3404,351,42177,2086,False,20.03846153846154,10.45,0.15,Twitter for iPhone,5
87,shalminhere,1561,265,103,63278,3677,False,32.333333333333336,468.9,0.0,Twitter for Android,4
88,sharmakapili,168,191,11,18987,320,False,26.6,490.9,0.0,Twitter for Windows Phone,5
89,vdrarsr,98,361,3,1835,113,False,4.6,463.3,0.0,Twitter Web Client,5
90,nmleo1,774,546,137,7381,1572,False,24.636363636363637,15.9,0.0,Twitter Web Client,5
91,tyagi40,5826,18420,54,378250,5082,False,328.7826086956522,81.6,0.0,Twitter for Android,6
92,JevinUmretiya,4,0,0,2,2,False,-1,0.0,0.0,Twitter for Android,5
93,PetrDai,0,0,0,4,19,False,4.0,38.5,0.0,Mobile Web (M2),6
94,Pritpal77777,9489,18169,8,34361,1636,False,357.0,2158.4,5.05,Twitter for iPhone,6
95,Dangerballu,334,9472,11,8110,279,False,415.2857142857143,92.75,0.0,TweetDeck,5
96,iamNaeem05,96,1759,2,1211,186,False,74.6,1993.157894736842,0.10526315789473684,Twitter for Android,6
97,vikashkumarran1,1671,2692,40,39419,1095,False,26.4,272.55,0.0,Twitter for Android,4
98,Fight_For_India,303,31136,30,43329,258,False,1.0,574.15,0.0,Twitter for Android,5
99,ChanakyaNiti1,828,1646,18,14985,47,False,81.0,105.95,0.05,Twitter for Android,5
100,neetuarora94,2842,9891,19,47771,28,False,462.7692307692308,329.7,0.0,Twitter for iPhone,6
101,LoveBansal11,79,15102,8,24977,58,False,366.3333333333333,117.4,0.0,Twitter for Android,5
102,AshwiniBhong,6,8,0,9,66,False,2.5,38.05263157894737,0.0,Twitter for Android,6
103,manuknl,11805,3,2,50,30,False,199.0,101.85,186.1,Twitter for Android,6
104,ParthPa07241800,1384,269125,523,336103,3423,False,44.833333333333336,278.05,0.0,Twitter for Android,6
105,AmitShah,3710892,126,1476,2960,156,True,19.5,460.95,1146.95,Twitter for Android,5
106,sachi_gkp,1309,1817,826,38338,4989,False,26.583333333333332,0.55,0.35,Twitter for iPhone,5
107,supermanheute,261,12007,12,11195,144,False,288.0,178.35,0.0,TweetDeck,5
108,PMOIndia,15238796,0,6812,13403,363,True,8.333333333333334,441.85,1396.8,Twitter Web Client,6
109,iarunmani,10351,6326,117,96191,595,False,88.11111111111111,79.1,0.05,Twitter for Android,5
110,Ggaurav1122,1664,13092,16,8065,205,False,44.125,50.55,0.0,Twitter for Android,5
111,msrbpl,13928,23298,134,145182,896,False,91.0,164.2,0.95,IFTTT,4
112,Mamtainsan02,1577,11946,14,38485,28,False,279.48,1240.85,0.0,Twitter for iPhone,6
113,imabhishek268,4094,151,5,15194,3677,False,10.785714285714286,0.65,0.95,Twitter for BlackBerry,5
114,45_biren,422,14296,26,12915,320,False,424.5,84.4,0.0,45_biren,4
115,kaminiinsan26,224,1488,5,13790,23,False,265.85714285714283,21446.55,0.0,Twitter for iPhone,7
116,PRINCEsri20,1997,4324,46,48942,60,False,25.166666666666668,59.0,0.0,Twitter for Android,5
117,BALWANIKAPIL,332,8142,38,12797,1711,False,1.0,1116.6,0.1,Twitter for Android,5
118,DalipGautam2,133,8471,33,11486,112,False,11.25,29.95,0.0,Twitter for Android,4
119,AniruddhINC,16660,4501,27,22860,310,False,115.0,21.7,1.55,Twitter for Android,4
120,SayyedAhmedMeh1,55,2585,4,3348,88,False,7.962962962962963,107.25,0.0,Twitter for Android,5
121,vinod_56,88,78,1,594,446,False,-1,0.15,0.15,Twitter for Android,4
122,rathindra1952,16,16,1,2780,35,False,-1,0.0,0.0,Twitter Web Client,6
123,Anti_31Percent,524,81931,143,109847,862,False,47.43478260869565,18.95,0.0,Twitter for iPhone,5
124,India_Bloopers,74,4050,19,5789,18,False,37.77777777777778,283.5,0.0,TweetDeck,4
125,AmolvKhodke,946,640,22,14854,173,False,39.625,135.4,0.0,Twitter for iPhone,5
126,kalkihprashar,375,24805,57,59526,74,False,2.0,1.05,0.0,Twitter for iPhone,4
127,Nationalistweet,1116,9283,105,67711,541,False,-1,0.1,0.05,Twitter Web Client,4
128,csharitha,1197,1627,7,2878,299,False,33.75,202.55,4.45,Twitter Web Client,5
129,sarojinsa19,33,32,2,2708,82,False,110.64285714285714,110.35,0.0,Twitter for Android,7
130,RahmaniAaquib,136,568,14,7311,242,False,8.727272727272727,1960.2,0.05,Twitter for Android,5
131,ManngoMan1,986,338,7,10373,1490,False,15.125,81.8,0.0,Twitter for Android,5
132,bpuand,2065,64543,477,124622,4756,False,29.333333333333332,78.45,0.2,Twitter for Android,4
133,ManasaJainPTR,138,191,4,424,93,False,9.857142857142858,206.15,0.4,Twitter for Android,5
134,van_Tico,582,13175,169,17035,2203,False,1.8125,73.1,0.0,Twitter for Android,5
135,JeanetteThomas1,2157,42,55,2646,776,False,62.416666666666664,351.9,0.35,Twitter Web Client,5
136,Being___Rehan,400,2361,4,5957,281,False,11.666666666666666,281.0,0.0,Twitter for Android,6
137,abhinitk,691,8593,30,8292,2327,False,3.7222222222222223,0.5,0.3,Facebook,5
138,SureshJha6,19,34,1,108,284,False,2.888888888888889,0.0,0.05,Mobile Web (M2),5
139,guptamukesh196,136,393,0,566,423,False,1.0,17.9,0.15,Twitter for Android,5
140,jagtars1,188,1168,9,100669,258,False,412.61538461538464,26.35,0.0,Twitter for Android,5
141,56perumal,25588,65543,347,290251,24743,False,40.0,83.1,0.0,Twitter Web Client,5
142,BJP4JnK,4995,143,40,10622,97,True,71.4,511.25,0.25,TweetDeck,5
143,cardlessnews,162,121,205,44229,258,False,-1,0.0,0.0,IFTTT,5
144,nfcbanking,1750,5,217,68742,127,False,-1,0.0,0.0,dlvr.it,5
145,Gurvinder41777,301,1023,21,117285,159,False,83.05555555555556,3830.8,0.05,Twitter for Android,5
146,kbk2712,257,6130,11,5129,271,False,18.428571428571427,366.9,0.0,Twitter for iPhone,5
147,DVijaymane,25,185,3,84,78,False,56.76923076923077,739.75,0.0,Twitter for Android,5
148,sufimastaan,76,500,6,1874,1005,False,23.4,118.15,0.05,Twitter for Android,5
149,amitniranjan05,12,2,0,3668,54,False,51.5,9.9,0.0,Twitter for Android,5
150,vijay_kapadi,1,1,0,6,13,False,-1,14.875,0.25,Mobile Web (M2),5
151,mohdaad786,0,1,0,2,5,False,-1,0.0,0.3333333333333333,Mobile Web (M2),6
152,Kuldip2002,5,8,0,1,96,False,-1,1.0,2.0,Twitter for Android,1
153,prudentious,3,18,0,206,8,False,51.470588235294116,16.2,0.05,Mobile Web (M2),6
154,AlAkBseth,944,12789,84,60269,410,False,54.77777777777778,41.6,0.0,Twitter for Android,5
155,himansupalo,275,50,21,7117,446,False,177.91666666666666,18.45,0.0,Twitter for Android,4
156,sudarsansand,38220,16223,116,3099,199,True,5.538461538461538,86.75,30.75,Twitter for iPhone,7
157,Pro_India,530,6758,22,22307,180,False,51.875,90.55,0.0,Twitter for Android,4
158,ChitraSarwara,7947,228,4,318,15,False,30.875,164.65,109.75,Twitter for Android,5
159,WePesaWallet,38463,36,200,869,23561,False,24.2,138.45,0.0,Twitter for iPhone,5
160,PreetWarech,7,63,0,703,26,False,15.15,16916.7,0.3,Twitter for Android,5
161,HarwinderInsa2,47,358,2,4484,186,False,14.523809523809524,11.8,0.0,Twitter for Android,6
162,mohsin_Jamala,70,128,0,232,75,False,25.0,533.45,0.0,Twitter for Android,5
163,jittu_bhati,26,107,0,115,437,False,-1,0.0,0.0,Twitter for Android,6
164,marlsuza,95,895,3,5917,351,False,6.666666666666667,755.25,0.0,Twitter for iPhone,6
165,ankupande,7101,86,17,6400,705,False,38.375,925.9,6.8,Twitter for iPhone,5
166,rameshsrivats,1143766,0,2467,20000,225,True,42.77777777777778,178.3,223.6,Twitter Web Client,6
167,PreetiSMenon,54041,9368,177,25529,205,True,54.8,293.25,9.5,Twitter for Android,4
168,Kctewari11K,5,33,0,54,18,False,6.0,176.85,0.0,Twitter for Windows,4
169,kushals36692293,169,7638,12,7265,100,False,38.833333333333336,601.05,0.0,Twitter for Android,5
170,AshokJWaghmare,4,11,0,1150,34,False,-1,4.6,0.0,Mobile Web (M2),4
171,harmesgmail,3,13,0,366,14,False,53.0,433.0,0.0,Twitter for Android,7
172,baggabhuller,95,1304,1,8638,1031,False,10.0,39.85,0.0,Twitter for Android,5
173,kishorebabuboy1,8,107,0,8,143,False,-1,0.0,0.65,Twitter for Android,4
174,tikaram00004,5,66,2,115,38,False,49.0,5.35,0.0,Twitter for Android,6
175,Chander_2783,684,238,2,1189,624,False,23.75,344.6,0.55,Twitter for Android,5
176,Reenasaini16,1765,5368,33,111628,266,False,419.8095238095238,73.85,0.0,Twitter for Android,6
177,DSGAUR,73,7,0,1841,70,False,1.0,0.0,0.0,Facebook,5
178,ajnabi_guy,770,11956,10,12076,719,False,93.6,46.95,0.35,Twitter for Android,4
179,BspUp2017,9525,14674,49,18563,182,False,115.61904761904762,34.95,20.9,Twitter Web Client,4
180,tbehlim,1832,1058,0,3352,249,False,16.933333333333334,397.5,0.0,Twitter for Android,4
181,khushiS23111861,5,547,1,162,72,False,81.125,112.3,0.0,Twitter for Android,3
182,Quadirkhan1,214,5258,10,24143,388,False,28.0,2527.3,0.0,Twitter for Android,6
183,Yogeshbanarasi,3904,39803,55,45426,2741,False,71.27272727272727,71.0,0.0,Twitter for Android,5
184,kevinaggett1,979,213,502,23476,725,False,91.9047619047619,0.15,0.1,IFTTT,5
185,Parammarok,1242,37,0,23,5,False,5.0,1588.85,0.25,Twitter for Android,7
186,narendramodi,25950548,0,19991,13637,1549,True,106.0,1608.65,4873.1,Twitter Web Client,6
187,patilkiran191,1014,1221,4,218,581,False,21.842105263157894,1.0,0.75,Twitter for Android,5
188,ArvindKejriwalU,190,92,0,633,0,False,8.714285714285714,44.45,0.95,Twitter for Android,5
189,jagdishojha45,2811,16228,106,86859,1484,False,181.0,65.4,0.0,Twitter for Android,5
190,SalmanPlanet,505,1306,20,13594,243,False,15.375,47.3,0.0,Twitter for Android,6
191,Sahil_RG,1038,57608,150,167211,341,False,61.333333333333336,229.3,0.0,Twitter for Android,4
192,aadyawithaachal,0,5,0,6,26,False,1.0,0.0,0.9375,Twitter for Android,7
193,vivekk92,53,21,2,57,127,False,33.955882352941174,0.1,0.35,Twitter for Android,5
194,Gurmeet63880094,148,2577,7,11930,152,False,29.4,32932.6,0.0,Twitter for Android,6
195,insansimran24,464,2035,5,23484,268,False,369.9166666666667,10360.9,1.0,Twitter for Android,6
196,Its_me_pervaiz,83,10775,0,929,93,False,85.0,134.7,0.05,Twitter for Android,4
197,gsrandhir,923,7951,401,41525,2081,False,36.0,74.5,0.0,Twitter for Android,5
198,Raja_Africa,362,5585,17,6074,1784,False,19.105263157894736,9.15,1.7,Twitter for iPhone,4
199,Malhargarh_INCC,817,716,4,2244,51,False,37.46153846153846,10.5,0.0,Twitter for Android,4
200,shyamjokchand,1619,4022,15,11241,273,False,16.333333333333332,110.6,1.85,Twitter for Android,5
201,pal_divya,64,456,23,1786,406,False,20.612903225806452,5.25,0.0,Twitter for Android,4
202,NewsWorldIN,10578,1399,295,34029,175,True,35.5609756097561,0.85,0.5,Twitter Web Client,4
203,Lokesh__Bhavsar,109,1808,3,2091,1875,False,7.166666666666667,8872.35,0.05,Mobile Web (M5),6
204,shamshadshaique,49,511,1,1056,79,False,107.36363636363636,128.05,0.0,Twitter for Android,3
205,rkUntold,134,331,27,8847,167,False,123.25,171.9,0.0,Twitter for Android,4
206,navinkhaitan,42696,5717,314,19139,296,False,20.428571428571427,78.9,30.4,Twitter for Android,5
207,imAbhishek_J,3396,5121,59,46991,190,False,2.0,44.05,0.0,Twitter for Android,4
208,luckygupta041,10,327,0,52,35,False,47.083333333333336,391.25,0.0,Twitter for Android,6
209,neerajsharms,182,518,5,1414,1022,False,3.7142857142857144,447.3,0.0,Twitter for Android,5
210,Amanat34133009,14,32,1,2629,55,False,128.0909090909091,97.35,0.0,Twitter for Android,6
211,bajrangjoshi221,86,1342,0,456,485,False,19.8,23.2,0.0,Twitter for Android,5
212,DS_Khimsar,3428,1608,4,1880,163,False,179.0,3.85,6.5,Twitter for iPhone,5
213,mediaindiagroup,693,473,67,1774,1807,False,27.512820512820515,4.8,6.1,Twitter for iPhone,5
214,deepshikhagupt5,5,1,0,248,14,False,66.21428571428571,18.85,0.0,Twitter for Android,5
215,gondaliya1986,508,27185,54,20521,1416,False,5.857142857142857,257.45,0.0,Twitter for iPhone,4
216,hopes_asha,3,21,1,37,82,False,2.3333333333333335,108.15789473684211,0.42105263157894735,Twitter Web Client,5
217,SiddiquiTayiab,7,57,1,57,131,False,1.25,177.7,0.0,Twitter for Android,5
218,RajeshSharmaINC,449,55848,1,346,90,False,18.214285714285715,107.3,7.1,Twitter for Android,5
219,Ikka_bollywood,1298,1096,17,10333,244,False,14.083333333333334,928.5,0.0,Mobile Web (M5),7
220,HoneyPabla7,0,54,0,608,27,False,19.705882352941178,48036.95,0.0,Twitter for Android,7
221,RajivTwr,224,78,1,1392,128,False,14.125,19.25,0.0,Twitter for Android,4
222,masonma71,211,344,7,2449,376,False,14.5,157.9,0.05,Twitter Web Client,4
223,sabithasan,595,15379,20,15573,719,False,115.875,123.2,0.0,Twitter for iPhone,4
224,wafa_adeel,1499,648,13,4193,395,False,66.0,139.0,0.2,Twitter Web Client,5
225,vinaydokania,15669,28350,211,272422,3145,False,107.94444444444444,38.75,0.55,Twitter Web Client,4
226,GURMEET57063875,18,10522,14,13358,22,False,7.0,27.7,0.0,Twitter for Android,5
227,_Sania28,1457,1192,11,15081,155,False,1.75,109.05,0.05,Twitter for Android,7
228,farman_pasha,128,18603,39,19789,460,False,29.962962962962962,34.75,0.0,Twitter Web Client,5
229,VisakhaSingh10,23,2382,0,2423,241,False,39.84615384615385,10106.15,0.0,Twitter for Android,7
230,insa_vinodkumar,38,45,0,1747,58,False,48.0,230.9,0.0,Twitter for Android,6
231,7b13965648ce438,7,0,0,5,22,False,1.0,432.5,0.0,Twitter for Android,5
232,SubrataSom7,4,20,0,1,49,False,-1,0.0,1.0,Twitter for iPhone,3
233,Yo_Shobha,9,248,3,2674,61,False,0,0.0,0.0,None,0
234,BeingSAlam_,1036,595,8,12436,896,False,8.5,89.6,0.1,Twitter for Android,6
235,tarunpaa,161,8669,12,4300,419,False,8.307692307692308,163.15,0.0,Twitter for iPhone,5
236,Kaunra,140,28558,58,29228,14,False,16.857142857142858,143.85,0.0,Twitter for Android,4
237,ETHindi,21866,1,260,7796,43,False,32.84615384615385,4.7,5.75,TweetDeck,5
238,niraj765,14,290,5,165,130,False,56.86363636363637,188.15,0.1,Mobile Web (M2),6
239,BjpForBihar,3221,12,1,577,714,False,-1,3.2,3.9,Trendveer,3
240,anupam_anjaan,58,70,1,148,152,False,4.538461538461538,0.05,0.15,Twitter for Android,5
241,InsaaShilpy,241,4877,10,9831,47,False,398.125,2135.2,0.05,Twitter for Android,6
242,anuj_doniwal,255,21082,1,4458,516,False,118.14285714285714,145.05,0.0,Twitter for Android,5
243,rssorg_,3017,11,3,642,631,False,-1,2.65,2.75,TweetRandom Series,4
244,Atul_Unadkat,718,435,11,13049,295,False,89.33333333333333,16.35,1.3,Twitter Web Client,6
245,khanalmas46,45,1395,0,1797,179,False,23.32,1245.0,0.0,Twitter for iPhone,6
246,SonuBai64234791,55,170,1,6650,349,False,120.63157894736842,1598.55,0.05,Twitter for Android,6
247,garvilumathur,46,5920,6,2995,50,False,43.73684210526316,503.2,0.0,Twitter for iPhone,5
248,nikhilchopra,16165,753,29,4192,623,False,34.05882352941177,0.3,0.5,Twitter for iPhone,6
249,gullaapka,68,6221,11,5354,119,False,129.66666666666666,103.65,0.0,TweetDeck,4
250,maneja675,44,1544,0,1737,12,False,115.75,8596.2,0.0,Twitter for Android,6
251,shareenpathak,4538,1690,213,5598,858,False,1.6666666666666667,1.1,1.6,Twitter for iPhone,5
252,SoonerGirl000,2761,28324,130,60426,3378,False,9.5,832.6315789473684,0.10526315789473684,Twitter Web Client,4
253,ohio312,1444,264,21,8672,1921,False,4.545454545454546,12.0,0.0,Twitter Web Client,4
254,Ranjeetkumarsh,33,49,5,580,199,False,2.0,3764.1,0.0,Twitter for Android,5
255,jayantsinha,211138,693,534,7428,160,True,9.333333333333334,10.7,18.85,Hootsuite,6
256,BalwinderMainn,2,135,0,401,11,False,23.75,36933.4,0.0,Twitter for Android,6
257,MojiBadlani,106,150,2,10360,11,False,239.4,30820.1,0.0,Twitter for Android,7
258,tahmidoha,34,3531,8,2851,554,False,9.125,1032.2,0.0,Twitter for Android,7
259,leadsbot,217,1041,199,738,630,False,28.35135135135135,8.3,0.0,www.leadsrobot.co,5
260,SRKgaurav1,115,6768,5,10249,60,False,24.875,2130.25,0.0,Twitter for iPhone,6
261,DigitgurusE,28,321,0,124,598,False,42.0,0.45,0.8,Twitter for Android,4
262,dharmiMsg,3,32,0,632,11,False,17.0,86.3,0.0,Twitter for Android,5
263,suhani84,813,381,36,7086,325,False,4.0,18.4,0.45,Twitter for Android,4
264,lalittiwari744,206,5682,2,1986,713,False,106.5,94.75,0.35,Twitter for Android,5
265,MadanBatra2,153,2502,5,21657,132,False,539.9,1512.75,0.4,Twitter for Android,7
266,4d6acfb2e8764d8,41,1131,4,3002,288,False,2.0,86.7,0.0,Twitter for Android,5
267,rphvikasgupta,427,9078,2,9693,1286,False,416.3157894736842,1841.4,0.0,Twitter for Android,6
268,001Radika,409,549,0,625,66,False,10.333333333333334,200.11764705882354,0.0,Twitter for Android,5
269,11Kruti,308,8532,14,7354,125,False,322.4166666666667,170.1,0.45,TweetDeck,4
270,navikaarao,435,8796,12,8053,250,False,400.3333333333333,42.45,0.0,TweetDeck,5
271,Subbannak,303,1046,11,2694,266,False,86.5,107.35,0.1,Twitter for Android,5
272,astitvam,32330,5867,63,12705,176,False,6.5,37.35,51.95,Facebook,5
273,NancyJha,13,47,0,1971,58,False,1.0,45.35,0.3,Twitter Web Client,5
274,SandeepMahule,11528,1179,243,230140,1722,False,26.666666666666668,61.75,0.25,Twitter for Android,5
275,AroorVibha,375,7831,16,6653,246,False,303.25,166.5,0.2,TweetDeck,4
276,rinkumonga59,990,778,18,23184,2950,False,12.25,4295.15,0.0,Twitter for Android,6
277,GeetaInsan7,512,4620,5,8572,50,False,222.5,91.85,0.0,Twitter for Android,6
278,NikunjKikani777,296,7,61,155,109,False,20.912087912087912,0.55,1.3,Hootsuite,5
279,NelizarKhan,1408,35502,52,46260,1571,False,5.0,3.15,0.0,Twitter for Android,8
280,Faridoonfanclub,83,0,16,5692,76,False,15.625,0.95,0.95,WordPress.com,6
281,insaan_navish,179,41575,28,63099,68,False,130.86666666666667,5412.75,0.55,Twitter for Android,6
282,Aaman4u2003,54,342,1,1529,174,False,21.09090909090909,80.3,0.05,Twitter for Android,6
283,TanniBadlani,101,124,1,9312,13,False,239.4,30849.5,0.0,Twitter for Android,7
284,rshaikh123,239,2244,26,24716,973,False,123.0,88.8,0.0,Twitter for iPhone,3
285,milligazette,10754,2475,126,32088,243,True,-1,37.15,1.65,Facebook,4
286,J4Jayshree,445,8826,13,7477,263,False,563.0,30.25,0.0,TweetDeck,4
287,ConversationUK,69259,6021,1859,69736,10587,True,1.0,2.4,1.75,Echobox Social,5
288,RajkBhandari13,29,254,11,8740,86,False,107.25,457.85,0.0,Twitter Web Client,3
289,SurinderInshan,249,3515,17,77416,22,False,396.0,3.55,0.0,Twitter for Android,8
